Date, Open, High, Low, Close
02/01/17, 5157.83, 5162.46, 5128.90, 5152.69
01/31/17, 5107.47, 5116.81, 5086.33, 5116.77
01/30/17, 5146.41, 5146.88, 5098.34, 5129.33
01/27/17, 5169.49, 5172.43, 5150.18, 5168.06
01/26/17, 5164.12, 5168.20, 5148.85, 5156.92
01/25/17, 5132.87, 5153.18, 5129.00, 5151.47
01/24/17, 5079.61, 5108.22, 5068.37, 5101.06
01/23/17, 5055.97, 5073.24, 5035.49, 5065.70
01/20/17, 5070.15, 5085.34, 5050.02, 5063.20
01/19/17, 5061.10, 5078.41, 5041.21, 5051.17
01/18/17, 5050.26, 5058.20, 5039.18, 5055.85
01/17/17, 5043.07, 5053.20, 5029.60, 5044.65
01/13/17, 5047.56, 5066.95, 5045.92, 5059.51
01/12/17, 5029.28, 5044.36, 4995.07, 5041.43
01/11/17, 5033.88, 5050.21, 5012.65, 5050.21
01/10/17, 5027.50, 5049.83, 5016.19, 5035.17
01/09/17, 5013.82, 5033.32, 5009.45, 5024.90
01/06/17, 4973.87, 5020.70, 4957.82, 5007.08
01/05/17, 4936.35, 4967.90, 4935.34, 4964.95
01/04/17, 4920.79, 4944.75, 4919.81, 4937.20
01/03/17, 4900.85, 4928.49, 4884.52, 4911.33
12/30/16, 4925.36, 4927.16, 4853.93, 4863.62
12/29/16, 4923.93, 4933.71, 4903.28, 4918.28
12/28/16, 4976.42, 4978.43, 4922.09, 4926.29
12/27/16, 4948.92, 4992.08, 4947.59, 4965.81
12/23/16, 4927.53, 4940.04, 4922.94, 4940.02
12/22/16, 4948.36, 4948.36, 4917.34, 4934.39
12/21/16, 4952.07, 4957.45, 4938.24, 4948.90
12/20/16, 4948.34, 4961.55, 4944.32, 4953.80
12/19/16, 4919.16, 4963.00, 4911.75, 4934.85
12/16/16, 4945.04, 4952.15, 4904.38, 4914.86
12/15/16, 4925.65, 4959.90, 4919.81, 4933.41
12/14/16, 4943.64, 4955.25, 4910.76, 4921.22
12/13/16, 4893.65, 4960.48, 4890.15, 4935.84
12/12/16, 4878.04, 4882.98, 4854.27, 4874.30
12/09/16, 4878.54, 4897.24, 4877.18, 4895.90
12/08/16, 4849.75, 4869.56, 4843.04, 4859.19
12/07/16, 4778.86, 4854.32, 4765.44, 4851.94
12/06/16, 4786.06, 4796.58, 4769.39, 4788.67
12/05/16, 4762.34, 4795.28, 4743.53, 4778.14
12/02/16, 4734.38, 4759.03, 4721.41, 4739.37
12/01/16, 4806.77, 4810.44, 4723.57, 4734.10
11/30/16, 4876.30, 4880.77, 4810.81, 4810.81
11/29/16, 4859.85, 4896.57, 4848.89, 4873.21
11/28/16, 4861.73, 4878.87, 4852.71, 4857.02
11/25/16, 4861.47, 4870.90, 4853.04, 4870.02
11/23/16, 4856.72, 4859.66, 4832.59, 4853.86
11/22/16, 4876.92, 4884.63, 4861.07, 4873.84
11/21/16, 4822.03, 4862.23, 4819.57, 4859.00
11/18/16, 4832.81, 4840.81, 4804.44, 4808.04
11/17/16, 4789.78, 4826.75, 4781.72, 4826.59
11/16/16, 4745.03, 4794.57, 4742.94, 4792.27
11/15/16, 4733.57, 4778.65, 4727.98, 4764.47
11/14/16, 4752.61, 4753.27, 4677.41, 4702.04
11/11/16, 4729.14, 4759.82, 4711.96, 4751.95
11/10/16, 4849.71, 4855.78, 4685.74, 4747.03
11/09/16, 4748.90, 4832.94, 4747.35, 4825.18
11/08/16, 4766.48, 4824.97, 4757.25, 4804.92
11/07/16, 4737.98, 4777.06, 4731.78, 4773.73
11/04/16, 4647.59, 4697.94, 4647.59, 4660.46
11/03/16, 4718.53, 4732.20, 4673.06, 4679.10
11/02/16, 4764.83, 4773.65, 4717.57, 4726.91
11/01/16, 4810.30, 4811.02, 4726.35, 4766.94
10/31/16, 4821.31, 4823.91, 4801.16, 4801.27
10/28/16, 4820.50, 4848.55, 4794.07, 4805.59
10/27/16, 4883.07, 4885.83, 4831.69, 4836.45
10/26/16, 4863.52, 4886.32, 4846.44, 4860.59
10/25/16, 4908.19, 4911.76, 4885.90, 4891.45
10/24/16, 4884.16, 4911.59, 4880.77, 4909.97
10/21/16, 4836.54, 4853.61, 4822.78, 4851.86
10/20/16, 4831.31, 4842.32, 4805.84, 4832.71
10/19/16, 4833.81, 4845.07, 4830.68, 4836.61
10/18/16, 4849.91, 4860.68, 4837.31, 4839.72
10/17/16, 4808.47, 4814.88, 4790.45, 4796.17
10/14/16, 4828.90, 4845.99, 4806.73, 4808.49
10/13/16, 4785.59, 4816.33, 4760.07, 4803.10
10/12/16, 4824.27, 4836.55, 4806.33, 4819.63
10/11/16, 4890.17, 4890.17, 4804.24, 4821.91
10/10/16, 4887.73, 4904.72, 4885.59, 4893.77
10/07/16, 4883.94, 4884.69, 4840.93, 4864.52
10/06/16, 4871.95, 4883.97, 4851.53, 4873.92
10/05/16, 4872.98, 4891.35, 4870.81, 4877.75
10/04/16, 4880.57, 4891.50, 4841.72, 4859.47
10/03/16, 4864.63, 4872.14, 4848.21, 4866.63
09/30/16, 4856.10, 4889.23, 4846.90, 4875.70
09/29/16, 4868.46, 4875.52, 4819.02, 4838.30
09/28/16, 4871.84, 4877.30, 4850.03, 4875.27
09/27/16, 4813.89, 4868.38, 4811.28, 4866.71
09/26/16, 4830.17, 4837.34, 4812.32, 4817.17
09/23/16, 4881.45, 4882.42, 4853.41, 4858.91
09/22/16, 4879.28, 4895.50, 4876.37, 4891.36
09/21/16, 4826.58, 4858.57, 4797.90, 4853.75
09/20/16, 4813.78, 4824.22, 4797.78, 4805.22
09/19/16, 4833.84, 4843.76, 4787.44, 4796.07
09/16/16, 4811.79, 4821.85, 4794.20, 4818.05
09/15/16, 4749.70, 4826.02, 4748.67, 4819.90
09/14/16, 4726.75, 4770.40, 4726.75, 4746.06
09/13/16, 4740.00, 4756.20, 4701.78, 4722.84
09/12/16, 4656.59, 4772.44, 4656.51, 4764.65
09/09/16, 4763.04, 4773.77, 4681.53, 4681.53
09/08/16, 4816.48, 4816.48, 4791.22, 4804.00
09/07/16, 4829.91, 4839.59, 4813.99, 4831.86
09/06/16, 4806.66, 4829.51, 4797.34, 4829.51
